Name,Movie_Code
 Wild Strawberries,tt0050986
 Ford v Ferrari,tt1950186
 Mr,tt0031679
 Maharaja,tt2654826
 Tokyo Story,tt0046438
 Rocky,tt0075148
 Logan,tt3315342
 The Big Lebowski,tt0118715
 The Seventh Seal,tt0050976
 Room,tt3170832
 Spotlight,tt1895587
 The Terminator,tt0088247
 Hotel Rwanda,tt0395169
 Platoon,tt0091763
 La haine,tt0113247
 Before Sunset,tt0381681
 Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
 Jai Bhim,tt1509721
 The Passion of Joan of Arc,tt0019254
 The Best Years of Our Lives,tt0036868
 The Exorcist,tt0070047
 Rush,tt1979320
 Network,tt0074958
 The Wizard of Oz,tt0032138
 The Incredibles,tt0317705
 Stand by Me,tt0092005
 Hachi: A Dog's Tale,tt1028532
 The Sound of Music,tt0059742
 The Handmaiden,tt4016934
 My Father and My Son,tt0476735
 To Be or Not to Be,tt0035446
 Into the Wild,tt0758758
 The Battle of Algiers,tt0058946
 Groundhog Day,tt0107048
 The Grapes of Wrath,tt0032551
 The Iron Giant,tt0129167
 Amores Perros,tt0245712
 Rebecca,tt0032976
 Cool Hand Luke,tt0061512
 The Help,tt1454029
 It Happened One Night,tt0025316
 Aladdin,tt0103639
" Paris, Texas",tt0087884
 Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,tt1103237
